district_id,predicted_outcome,risk_factor_score,risk_level,HVI_Score,UTCI_mean,PM25_mean,O3_q95
Sabah,9.018453210312527,1.7101419561099331,YELLOW,2.679223126756232,30.970917,5.774178504943848,72.43208542500001
Sarawak,9.018453210312527,1.1783880581242527,YELLOW,2.0212217249249735,30.90805,7.198683738708496,71.728307
Kelantan,9.288226910633254,0.7767413513519426,YELLOW,1.2943889668092305,31.258667,7.393693923950195,89.56233475000002
Perak,8.857515151192198,-0.016161883552182565,YELLOW,-0.11424271544974239,31.076477,9.62641716003418,123.77182562500002
Pulau Pinang,9.414831034791183,-0.09488553882103679,YELLOW,-0.34066701528410276,33.010254,10.071660041809082,130.955507375
Selangor,9.280612424961515,-0.15262127574910705,YELLOW,-0.530915742396052,32.576874,10.170795440673828,141.3701254
Labuan,6.251903883165888,-0.16703963975206615,YELLOW,0.12107788946040235,30.970917,6.965606689453125,89.56233475000002
Johor,9.82395721357932,-0.18935560039585791,YELLOW,-0.2675215607668142,32.41629,11.05046272277832,116.0717439
Negeri Sembilan,9.414831034791183,-0.19166931433443665,YELLOW,-0.458973691190635,32.314728,9.24144458770752,132.04595460000002
Pahang,9.247925132303454,-0.2100120764577641,YELLOW,-0.1285725640583186,31.852264,9.988938331604004,103.6621264
Kedah,9.132054453577638,-0.24074140905018418,YELLOW,-0.21165870091449207,32.222656,10.593911170959473,106.60519625
Perlis,7.711996507047669,-0.3230316468638318,GREEN,-0.535993155394655,32.70981,11.823893547058104,123.77182562500002
Kuala Lumpur,9.501740523796375,-0.46747695470738404,YELLOW,-0.3014700378112343,32.99066,9.606064796447754,89.56233475000002
Terengganu,9.091444217032327,-0.50457130398801,GREEN,-0.39082498331618915,32.042877,8.339550018310547,94.90617675
Putrajaya,5.3706380281276624,-0.5260394329294291,GREEN,-0.8738091696286407,32.77591,9.50942611694336,130.955507375
Melaka,8.867145589594143,-0.5816652889848382,GREEN,-0.43842658559045794,32.707306,9.599113464355469,89.56233475000002
